,id,title,date,news_url,paragraph,source,category
0,1,醫院/傳/醫護/確診/衛生局/證實/展開/清/消採/檢,2022-04-12 16:36,/news/story/120940/6233726?from=udn-catebreaknews_ch2,傳出/有/家/醫院/醫護員/確診/此/衛生/局長/縣府/防疫/說明/記者/證實/確實/接獲/家/醫院/出現/醫護/確診/針對/院/感染/個案/展開/全面/處理/說/醫院門診/暫停/住院/相關/部門/只出/進/員工/也/依/風險/分層/做/採/開始/包括/醫護/醫護/清潔工/等/採/感染/情況/做/全面/掌握/也/針對/門診/清潔/消毒/也/表示/急診/洗/腎空/間/特別/維持/民眾/服務/完整/性/採/也/清/消採/檢/確保/區域/乾淨/等/疫/調/處理/告/段/落/再/說明,udn,要聞
1,2,影/立委/分局/刑警/確診/衛生局/疫/調/消,2022-04-12 17:02,/news/story/120940/6233828?from=udn-catebreaknews_ch2,國內/本土/疫情/多/爆發/新增/本土/除/產/發局/員工/確診/國民黨/立委/警分局/也/傳出/刑警/確診/另/有/民眾/反映/到/有/確診/足跡/咖啡/廳/用餐/咖啡/廳老闆/告知/坐/確診者/沒收/到/細胞/簡訊/衛生局/也/咖啡/廳/索取/實聯/制資料/質疑/足跡匡列/作業/鬆綁/警分局/爆/刑警/確診/人/送/證物/到/地檢署/入庫/衛生局/召開/記者/表示/相關/個案/疫/調/立委/辦公室/繼/助理/確診/也/陰轉/陽/移置/治療/衛生局/表示/個案/縣市個案/疫/調/針對/確診/場域/北市府/有/協助/加強/清/消/呼籲/員工/自我/健康/監測/另/有/市民/指出/去/咖啡/廳/咖啡廳/公告/有確診者/足跡/事後/咖啡廳/老闆/告知/坐/確診者/沒收/到/細胞/簡訊/通知/咖啡廳/老闆/也/說/衛生局/索取/實聯/制資訊/質疑/足跡匡列/鬆綁/衛生局/回應/只/要/收到/通報/個案/啟動/疫/調/機制/依照/程序匡列/相關/接觸者/做/風險/評估/環境清/消等/民眾/匡列/標準/清楚/等/問題/近/當地/衛生/單位/詢問,udn,要聞
2,3,男子/疑搭/船/出海/落水/溺斃,2022-04-12 14:35,/news/story/7320/6233342?from=udn-catebreaknews_ch2,北山/出海/口/發生/一起/民眾/落海/意外/楊姓/男子/疑/搭乘/船/出海/想到/不慎/落海/海岸/巡/消防隊/接獲/通報/趕/現場/救援/楊姓/男子/獲救/生命/跡象/送醫/治/後續/地檢署/檢察官/進行/相/驗/釐清/相關/案情/消防局/長/陳叁奇/表示/意外/發生/北山/出海/口/海/約/處/岸/巡/發現/船/原地/轉/船/無人/通報艇/前往/搜救/尋獲/落海/男子/救/楊姓/男子/呼吸/心跳/上/送/醫院/搶救/海巡艇/靠岸/身/防護服/人員/落海/男子/抬上/岸/消防/隊員/實施/CPR/心肺/復甦/術/恢復/生命跡象/行人/趕緊/人/送/救護車/趕/醫院/進行/搶救/宣告/治/於/歲/楊姓/男子/死亡/後續/相關/案情/待/釐清/出海/獨自/出海/有/其他/人/同行/等/檢/調進/調查/釐清/意外原因,udn,社會
3,4,疫情/整理/包/本土/估/月底/破/破/也/可能/發生,2022-04-12 17:00,/news/story/120940/6232317?from=udn-catebreaknews_ch2,本土/疫情/升溫/多/爆發/地/也/陸續/傳出/確診/聯合/新聞網/讀者/快速/整理/本日/疫情/重點,udn,要聞
4,5,精/摘/本土/大增/居家/隔離/期滿/PCR/改快篩,2022-04-12 16:50,/news/story/7314/6233782?from=udn-catebreaknews_ch2,NA,udn,要聞
5,6,工廠/大火/控制/無人/員/受困/受傷,2022-04-12 14:20,/news/story/7320/6233297?from=udn-catebreaknews_ch2,工廠/發生/火警/火勢/全面/燃燒/到/回報/火勢/控制/無人/員/受困/受傷/起火/原因/消防局/調查/消防局/獲/有/工廠火警/派遣/豐南/頭家厝/救災/車輛/共計/人員/到場/搶救/副大隊長/擔任/現場/指揮官/消防/隊員/到場/發現/一樓/鐵皮/工廠物/起火/燃燒/現場/無人/員/受困/無人/傷亡/回報/火勢/控制/燃燒/面積/初/估約/財物/損失/待查/起火/原因/火/調/人員/調查,udn,社會
6,7,台義/跨國/監女大戰/律師/恐/倉促/裁定/盼/大法官/盡/做成/判決,2022-04-12 14:30,/news/story/7321/6233327?from=udn-catebreaknews_ch2,NA,udn,社會
7,8,田/戴/口罩/人/滾/回去/共產黨/判/罰,2022-04-12 14:32,/news/story/7321/6233337?from=udn-catebreaknews_ch2,人民/共產/黨總理/人/大/前往/田/紀念/園區/田銅像/戴上/印有/五星旗/發表/新冠肺炎/給/病毒/傳染/給/人/滾/回去/等/言論/上傳/臉書/警方/認/違反社/維法/送辦/簡易庭/引用/同意/觀點/誓/死/捍衛/說話/權利/裁定/罰/警方/調查/人/前往/田/紀念/園區/銅像/戴上/印有/五星/旗圖樣/口罩/發言/稱/新冠肺炎/給/病毒/傳染/給/人/滾/回去/等/全程/錄影/張姓/男子/影片/上傳/其臉/書/警方/認/人/涉/有/違反/社會/秩序/維護法/藉端/滋/擾/公共場/行為/移請/簡易庭/裁定/人/辯稱/此/舉/疫情/嚴重/要/強調/口罩/重要/性/正面/防疫/宣傳/等/等/人/承認/發表/人/滾/回去/等/言論/簡易庭/勘驗/警方/檢附/光碟/社群/網站/錄影/檔案/見/五星/旗口罩/戴上/銅像/影片/說/出/大家/農曆/人/好朋友/要/來/田/戴/口罩/阿/新冠肺炎/請/人/人/病毒/傳來/帶/五星旗/口罩/也/讓/知道/說/屬於/等/好朋友/田/阿/戴/口罩/希望/病毒/帶到/來/也/田/說/領/土/人/滾/回去/人/滾/回去/說/希望/兩岸/早日/統一/最好/選擇/謝謝/大家/法官/認為/行人/配戴/印有/五星旗/口罩/紅衣/戴/五星/旗圖樣/小帽/影片/主張/兩岸/統一/言論/依/一般/人/生活/語言經驗/理解/移送人/人/行人/宣傳/共產黨/發表/認同/謀求/兩岸/統政治理念/法官/指出/等/人/惟/煽動/暴力/攻擊/歧視/特定/族群/極端/仇恨/言論/僅/個人/意見/表達/言論/自由/核心/留待/言論市場/自行/評價/踰/越法律/界/限/獲得/尊重/法官/引用/女性/作家/Evelyn/Beatrice/Hall/The/Friends/of/Voltaire/伏/爾泰/朋友們/書/同意/觀點/誓/死/捍衛/說話/權利/本院/否認/同/言論內容/傳遞/觀點/予以/最大/包容,udn,社會
8,9,影/有確診者/足跡/清潔/隊清/消,2022-04-12 16:57,/news/story/120940/6233807?from=udn-catebreaknews_ch2,縣/有確診者/足跡/分別/地點/活動/鄉市/清潔隊/接到/通知/做/環境/清/消/根據/流行/疫情/指揮/發布/訊息/的確/診者足/跡/出現/到/藤山步道/健走/到/鳥早餐/店/帶/的確/診者足/跡/去/營/夫球/練習場/時間/清潔隊/接獲/通知/有確診者/足跡/到/藤山/步道/等/道路/住/家/噴藥/消毒,udn,要聞
9,10,進入/長備/選/狀態/行程/宣導/防疫,2022-04-12 17:02,/news/story/6656/6233829?from=udn-catebreaknews_ch2,民進黨/布局/市長人/選/定/衛福部長/專訪/透露/總統/有/正式/談/國民黨/立委/立法院/質詢/追問/跑/行程/進入/選舉/備戰/狀態/連忙/答/備戰/狀態/絕對/行程/民眾/溝通/宣導/防疫/針對/鬆口/總統/正式/談/現階段/防疫/重/質詢/追問/大概/要/宣布/參選/正面/回應/僅/表示/是非/正式/印象/深刻/大家/可能/關心/正式/詢問/也/正式/場合/來/問/說/美日/新增/確診/案例/民眾/很/緊張/繼續/跑/行程/進入/選舉/備戰/狀態/連忙/否認/絕對/樣子/準備/行程/宣導/目標/民眾/溝通/防疫/事情/於立/委/傳出/陰轉/陽/確診/問/針對/國會/行政/部門/防疫/應對/措施/指揮/中心/有/更積極/作法/說/照/基本/防疫/原則/也/建議/立法院/要/設防/疫/長/自主/應變/委員/辦公室/也/要/有/負責人/出現/確診/案例/積極/聯絡,udn,要聞
